date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_entry,outcome,winner_entry
2018-03-19,Miami Masters,M,3,H,false,51,R128,Daniil Medvedev,,Russian Federation,RUS,52,7,1928,Stefanos Tsitsipas,,Greece,GRE,70,-10,1808,2-6 6-4 6-2,,,
2018-03-05,Indian Wells Masters,M,3,H,false,55,R64,Dominic Thiem,5,Austria,AUT,6,3,2102,Stefanos Tsitsipas,,Greece,GRE,71,-5,1813,6-2 3-6 6-3,,,
2018-03-05,Indian Wells Masters,M,3,H,false,55,R128,Stefanos Tsitsipas,,Greece,GRE,71,14,1799,Radu Albot,,"Moldova, Republic of",MDA,88,-16,1769,7-6(2) 6-2,,,
2018-02-26,Dubai,A,3,H,false,66,QF,Malek Jaziri,,Tunisia,TUN,117,12,1837,Stefanos Tsitsipas,,Greece,GRE,82,-13,1812,6-4 3-6 6-3,WC,,WC
2018-02-26,Dubai,A,3,H,false,66,R16,Stefanos Tsitsipas,,Greece,GRE,82,23,1789,Philipp Kohlschreiber,6,Germany,GER,33,-15,2008,4-6 6-3 6-4,,,WC
2018-02-26,Dubai,A,3,H,false,66,R32,Stefanos Tsitsipas,,Greece,GRE,82,21,1768,Mikhail Kukushkin,,Kazakhstan,KAZ,88,-14,1874,6-2 6-7(5) 6-3,,,WC
2018-02-19,Marseille,B,3,H,true,83,R32,Nicolas Mahut,,France,FRA,100,7,1888,Stefanos Tsitsipas,,Greece,GRE,80,-10,1778,7-5 7-6(4),,,
2018-02-05,Montpellier,B,3,H,true,67,R32,Jeremy Chardy,,France,FRA,91,8,1870,Stefanos Tsitsipas,,Greece,GRE,78,-10,1788,4-6 7-5 7-5,,,
2018-01-15,Australian Open,G,5,H,false,65,R128,Denis Shapovalov,,Canada,CAN,50,13,1871,Stefanos Tsitsipas,,Greece,GRE,82,-16,1804,6-1 6-3 7-6(5),,,
2018-01-08,Auckland,B,3,H,false,74,R32,Lukas Lacko,,Slovakia,SVK,90,16,1781,Stefanos Tsitsipas,,Greece,GRE,80,-14,1818,6-3 6-7(5) 6-3,WC,,LL
2018-01-01,Doha,B,3,H,false,52,QF,Dominic Thiem,1,Austria,AUT,5,3,2088,Stefanos Tsitsipas,,Greece,GRE,91,-4,1822,7-5 6-4,Q,,
